TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
86398,DPW Maintained,Prunus serrulata :: Ornamental Cherry,1631 26th Ave,1,Sidewalk: Curb side : Cutout,DPW,12/15/06 0:00,3,3x3,37.75698929,-122.4842697
58258,DPW Maintained,Prunus cerasifera :: Cherry Plum,204 Texas St,1,Sidewalk: Curb side : Cutout,Private,7/28/78 0:00,10,,37.76373675,-122.3957778
84283,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,156 Tioga Ave,1,Sidewalk: Curb side : Cutout,Private,6/5/08 0:00,2,3x3,37.71697909,-122.4067769
43312,DPW Maintained,Pittosporum crassifolium :: Karo Tree,148X Paris St,3,Sidewalk: Curb side : Cutout,SFUSD,6/4/08 0:00,6,3x3,37.72617421,-122.4316407
21802,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,2600X Taylor St,7,Sidewalk: Curb side : Cutout,Private,1/22/16 0:00,12,3X3,37.80691155,-122.414701
95160,DPW Maintained,Pittosporum undulatum :: Victorian Box,2721 Pacific Ave,1,Sidewalk: Curb side : Cutout,Private,1/11/11 0:00,4,3x3,37.7925688,-122.4404118
246210,DPW Maintained,Prunus cerasifera :: Cherry Plum,725 Buena Vista Ave West,1,Sidewalk: Curb side : Cutout,Private,10/1/19 0:00,3,Width 0ft,37.7679671,-122.4437999
107635,Significant Tree,Prunus cerasifera :: Cherry Plum,1150 Lombard St,10,Front Yard : Yard,Private,10/1/14 0:00,3,,37.80270049,-122.420576
110026,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2585 Pacific Ave,2,Front Yard : Cutout,Private,2/13/18 0:00,3,,37.79289476,-122.4378059
75385,DPW Maintained,Pittosporum crassifolium :: Karo Tree,163X London St,1,Sidewalk: Curb side : Cutout,SFUSD,5/8/92 0:00,10,3x3,37.72637408,-122.4323958
39918,DPW Maintained,Pittosporum undulatum :: Victorian Box,2115 Pierce St,1,Sidewalk: Curb side : Cutout,Private,1/25/99 0:00,8,,37.78968523,-122.4374475
3207,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3800X California St,1,Sidewalk: Curb side : Cutout,Private,3/17/94 0:00,9,3X3,37.78606485,-122.4568578
9557,Permitted Site,Pittosporum spp :: Pittosporum spp,1195X Golden Gate Ave,10,Sidewalk: Curb side : Cutout,Office of Mayor,1/19/16 7:54,3,3x3,37.77973501,-122.4300625
34931,DPW Maintained,Pittosporum undulatum :: Victorian Box,104 Palm Ave,1,Sidewalk: Curb side : Cutout,Private,10/16/97 0:00,9,,37.78361254,-122.4577919
45482,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,3020 20th Ave,2,Sidewalk: Curb side : Cutout,Private,7/19/01 0:00,2,,37.73223362,-122.4759246
4949,DPW Maintained,Pittosporum undulatum :: Victorian Box,64 Dedman Ct,1,Sidewalk: Curb side : Cutout,DPW,11/16/13 0:00,3,,37.73679643,-122.3847011
40257,Permitted Site,Prunus serrulata :: Ornamental Cherry,3502 24th St,1,Sidewalk: Curb side : Cutout,Private,5/13/99 0:00,4,,37.75211431,-122.4216649
66381,DPW Maintained,Ficus retusa nitida :: Banyan Fig,648 Fillmore St,1,Sidewalk: Curb side : Cutout,Private,1/4/91 0:00,13,,37.77549351,-122.4310457
50606,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,219 03rd Ave,1,Sidewalk: Curb side : Cutout,Private,12/2/03 0:00,7,,37.78428837,-122.4613874
93416,DPW Maintained,Prunus serrulata 'Amanagawa' :: Flowering Cherry Tree 'Amanagawa',1750X Taraval St,1,Sidewalk: Curb side : Cutout,DPW,2/19/15 15:07,3,3x3,37.7427272,-122.4850716
916,DPW Maintained,Pittosporum undulatum :: Victorian Box,1240 Alemany Blvd,1,Sidewalk: Curb side : Cutout,DPW,1/19/16 11:06,3,3X3,37.73048889,-122.4319102
15416,DPW Maintained,Pittosporum undulatum :: Victorian Box,2086 Mission St,1,Sidewalk: Curb side : Cutout,Private,3/2/06 0:00,3,4X4,37.76372775,-122.4196346
62316,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',629 05th Ave,1,Sidewalk: Curb side : Cutout,Private,10/11/85 0:00,10,,37.77670346,-122.4629724
14661,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',683 McAllister St,1,Sidewalk: Curb side : Cutout,DPW,6/14/16 0:00,35,3x3,37.77965371,-122.4231573
21696,DPW Maintained,Ficus nitida :: Laurel Fig,1890 Sutter St,1,Sidewalk: Curb side : Cutout,DPW,4/9/90 0:00,16,4x4,37.78639315,-122.4313973
13729,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,785 Market St,2,Sidewalk: Curb side : Cutout,DPW,9/1/93 0:00,12,3X3,37.78596118,-122.4053555
81877,Permitted Site,Pittosporum eugenioides :: Tarata,1380 12th Ave,1,Sidewalk: Curb side : Cutout,Private,12/23/14 0:00,3,3x3,37.76245107,-122.4693309
28725,DPW Maintained,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,1970 Sutter St,3,Sidewalk: Curb side : Cutout,DPW,3/21/13 0:00,3,3x3,37.78622646,-122.4327389
84481,DPW Maintained,Prunus x yedoensis :: Yoshino Cherry,59 Santa Fe Ave,1,Sidewalk: Curb side : Cutout,Private,1/22/08 0:00,4,3x3,37.73400833,-122.4006212
14303,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2175 Market St,7,Sidewalk: Curb side : Cutout,DPW,3/25/11 0:00,3,4x4,37.76634378,-122.4302091
13269,DPW Maintained,Ficus retusa nitida :: Banyan Fig,2495 Lombard St,1,Sidewalk: Curb side : Cutout,Private,10/26/93 0:00,6,3X3,37.79895438,-122.4421678
30460,DPW Maintained,Pittosporum undulatum :: Victorian Box,470 Union St,1,Sidewalk: Curb side : Cutout,Private,5/11/56 0:00,19,4x4,37.80073861,-122.4072641
195900,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,8 Carpenter Ct,3,Sidewalk: Curb side : Cutout,DPW,2/2/90 0:00,3,Width 3ft,37.73476879,-122.3850112
